ID,OffID,Longitude,Latitude,G8,H18,N5,N10,O5
226,0,-77.20965300009419,37.32995500004495,162:180,114:114,124:126,192:192,185:195
232,0,-77.20926100029465,37.3301479998665,158:180,112:112,124:126,184:192,185:185
234,0,-77.20917700040172,37.33027000005123,158:180,112:96,128:128,184:192,185:185
300,0,-77.21005600040775,37.33050199978849,180:188,112:116,126:126,198:200,191:195
305,0,-77.20948599955238,37.330375000082086,154:170,122:124,124:126,188:192,181:195
432,0,-77.20986200046755,37.331018999611516,164:180,114:116,124:126,198:202,185:193
433,0,-77.20986099948833,37.331016999597836,180:188,112:114,126:126,198:202,179:193
468,0,-77.20955000030703,37.331748000071755,164:164,110:116,124:124,198:202,181:193
468,1,-77.20955000030703,37.331748000071755,156:164,110:112,124:126,198:200,185:193
468,2,-77.20955000030703,37.331748000071755,164:180,112:116,124:126,198:202,193:193
468,3,-77.20955000030703,37.331748000071755,164:188,114:116,124:126,198:198,179:181
468,4,-77.20955000030703,37.331748000071755,164:180,110:112,124:126,192:198,181:185
468,5,-77.20955000030703,37.331748000071755,154:164,104:110,124:126,202:202,193:195
468,6,-77.20955000030703,37.331748000071755,154:164,104:110,124:124,188:202,193:193
468,7,-77.20955000030703,37.331748000071755,162:164,114:116,124:124,192:202,181:185
468,8,-77.20955000030703,37.331748000071755,164:180,110:114,124:126,192:198,181:195
468,9,-77.20955000030703,37.331748000071755,164:180,114:116,124:126,202:202,193:193
468,10,-77.20955000030703,37.331748000071755,164:182,114:116,124:124,184:198,193:195
468,11,-77.20955000030703,37.331748000071755,158:164,110:112,124:128,192:198,181:185
468,12,-77.20955000030703,37.331748000071755,158:164,112:116,124:128,192:198,181:185
468,13,-77.20955000030703,37.331748000071755,164:164,108:110,124:126,188:202,191:193
468,14,-77.20955000030703,37.331748000071755,164:182,108:110,124:126,198:202,181:193
468,15,-77.20955000030703,37.331748000071755,164:180,110:112,124:126,198:202,181:193
468,16,-77.20955000030703,37.331748000071755,164:164,102:110,124:126,198:198,181:193
468,17,-77.20955000030703,37.331748000071755,164:164,104:110,124:126,188:198,193:193
468,18,-77.20955000030703,37.331748000071755,164:182,108:110,124:126,198:202,181:193
468,19,-77.20955000030703,37.331748000071755,164:182,104:110,124:126,202:202,181:193
468,20,-77.20955000030703,37.331748000071755,164:182,110:110,124:126,198:202,179:181
474,0,-77.20961699969392,37.33174199974987,156:164,104:112,126:126,198:200,185:193
474,1,-77.20961699969392,37.33174199974987,164:168,104:112,126:126,198:202,185:195
474,2,-77.20961699969392,37.33174199974987,156:156,102:112,126:126,198:198,179:185
474,3,-77.20961699969392,37.33174199974987,162:164,112:114,124:126,192:198,185:193
474,4,-77.20961699969392,37.33174199974987,164:188,110:112,126:126,194:198,185:193
474,5,-77.20961699969392,37.33174199974987,156:158,112:112,126:128,192:198,185:193
474,6,-77.20961699969392,37.33174199974987,164:180,108:112,126:126,188:198,177:193
474,7,-77.20961699969392,37.33174199974987,164:188,110:112,126:126,190:198,177:185
474,8,-77.20961699969392,37.33174199974987,164:168,104:112,126:126,200:202,193:193
474,9,-77.20961699969392,37.33174199974987,156:164,112:112,126:126,190:198,185:193
474,10,-77.20961699969392,37.33174199974987,164:188,110:112,126:126,190:198,177:185
474,11,-77.20961699969392,37.33174199974987,164:168,110:112,126:126,188:200,181:185
474,12,-77.20961699969392,37.33174199974987,164:180,112:112,126:126,190:198,179:193
474,13,-77.20961699969392,37.33174199974987,164:164,112:114,126:126,188:198,181:185
474,14,-77.20961699969392,37.33174199974987,156:180,112:118,126:126,188:200,185:193
474,15,-77.20961699969392,37.33174199974987,156:180,112:114,126:126,190:200,179:185
474,16,-77.20961699969392,37.33174199974987,156:168,104:112,126:126,192:198,193:193
474,17,-77.20961699969392,37.33174199974987,164:164,112:112,126:126,198:200,193:193
474,18,-77.20961699969392,37.33174199974987,156:164,104:114,126:126,198:202,181:193
474,19,-77.20961699969392,37.33174199974987,164:164,112:112,126:128,198:200,185:193
474,20,-77.20961699969392,37.33174199974987,164:168,112:112,126:126,192:198,193:193
484,0,-77.20965500006994,37.33164599991747,160:168,112:116,126:126,192:192,193:193
487,0,-77.2096500005591,37.331642000020246,164:176,110:112,126:126,192:202,179:181
489,0,-77.20964599977546,37.33164000018016,160:164,104:112,126:126,192:202,179:181
490,0,-77.2096449999208,37.331638000143855,164:176,112:112,128:128,192:202,179:181
493,0,-77.20963900043789,37.33163500035179,168:168,104:112,124:126,192:202,193:195
512,0,-77.2101869997745,37.331638999995626,156:174,108:114,126:126,200:202,179:195
513,0,-77.21008700022352,37.33164999996541,156:180,102:114,126:126,190:198,179:179
516,0,-77.21001499998599,37.33184899964554,156:180,102:114,124:126,190:198,179:179
519,0,-77.20992300046245,37.33183800005677,156:180,104:114,126:126,182:188,181:181
520,0,-77.20985400012167,37.33199000027575,164:172,114:124,126:126,188:198,195:195
521,0,-77.2097139997537,37.33212600040653,160:164,112:112,128:128,198:200,185:193
590,0,-77.20928200015749,37.3334049998008,164:168,112:118,124:126,192:198,177:193
607,0,-77.20836300050776,37.33093600031348,154:164,114:114,126:126,188:202,181:181
